Site_Code,Collect Date (local),Precipitation (inches),E = Estimate; W = Warning; P = Provisional; S = Snow Or Ice
27u,1/10/1989,0.090,
27u,1/11/1989,0.070,
27u,1/12/1989,0.160,
27u,1/13/1989,0.410,
27u,1/14/1989,0.040,
27u,1/15/1989,0.020,
27u,1/16/1989,0.140,
27u,1/17/1989,0.000,
27u,1/18/1989,0.180,
27u,1/19/1989,0.010,
27u,1/20/1989,0.070,
27u,1/21/1989,0.000,
27u,1/22/1989,0.070,
27u,1/23/1989,0.000,
27u,1/24/1989,0.000,
27u,1/25/1989,0.000,
27u,1/26/1989,0.170,
27u,1/27/1989,0.020,
27u,1/28/1989,0.000,
27u,1/29/1989,0.000,
27u,1/30/1989,0.380,
27u,1/31/1989,0.110,
27u,2/1/1989,0.000,
27u,2/2/1989,0.000,
27u,2/3/1989,0.000,
27u,2/4/1989,0.000,
27u,2/5/1989,0.000,
27u,2/6/1989,0.070,
27u,2/7/1989,0.230,
27u,2/8/1989,0.000,
27u,2/9/1989,0.000,
27u,2/10/1989,0.000,
27u,2/11/1989,0.000,
27u,2/12/1989,0.000,
27u,2/13/1989,0.000,
27u,2/14/1989,0.000,
27u,2/15/1989,0.000,
27u,2/16/1989,0.870,
27u,2/17/1989,0.660,
27u,2/18/1989,0.290,
27u,2/19/1989,0.200,
27u,2/20/1989,0.110,
27u,2/21/1989,0.170,
27u,2/22/1989,0.590,
27u,2/23/1989,0.110,
27u,2/24/1989,0.060,
27u,2/25/1989,0.050,
27u,2/26/1989,0.000,
27u,2/27/1989,0.010,
27u,2/28/1989,0.030,
27u,3/1/1989,0.030,
27u,3/2/1989,0.000,
27u,3/3/1989,0.470,
27u,3/4/1989,0.200,
27u,3/5/1989,0.480,
27u,3/6/1989,0.280,
27u,3/7/1989,0.060,
27u,3/8/1989,0.010,
27u,3/9/1989,0.500,
27u,3/10/1989,0.250,
27u,3/11/1989,0.510,
27u,3/12/1989,0.790,
27u,3/13/1989,0.200,
27u,3/14/1989,0.260,
27u,3/15/1989,0.040,
27u,3/16/1989,0.180,
27u,3/17/1989,0.050,
27u,3/18/1989,0.480,
27u,3/19/1989,0.010,
27u,3/20/1989,0.170,
27u,3/21/1989,0.030,
27u,3/22/1989,0.200,
27u,3/23/1989,0.020,
27u,3/24/1989,0.340,
27u,3/25/1989,0.300,
27u,3/26/1989,0.040,
27u,3/27/1989,0.090,
27u,3/28/1989,0.200,
27u,3/29/1989,0.040,
27u,3/30/1989,0.150,
27u,3/31/1989,0.050,
27u,4/1/1989,0.330,
27u,4/2/1989,0.000,
27u,4/3/1989,0.160,
27u,4/4/1989,0.160,
27u,4/5/1989,0.440,
27u,4/6/1989,0.010,
27u,4/7/1989,0.000,
27u,4/8/1989,0.000,
27u,4/9/1989,0.000,
27u,4/10/1989,0.000,
27u,4/11/1989,0.000,
27u,4/12/1989,0.000,
27u,4/13/1989,0.000,
27u,4/14/1989,0.000,
27u,4/15/1989,0.000,
27u,4/16/1989,0.000,
27u,4/17/1989,0.000,
27u,4/18/1989,0.000,
27u,4/19/1989,0.140,
27u,4/20/1989,0.270,
27u,4/21/1989,0.000,
27u,4/22/1989,0.040,
27u,4/23/1989,0.000,
27u,4/24/1989,0.000,
27u,4/25/1989,0.000,
27u,4/26/1989,0.000,
27u,4/27/1989,0.000,
27u,4/28/1989,0.000,
27u,4/29/1989,0.000,
27u,4/30/1989,0.000,
27u,5/1/1989,0.000,
27u,5/2/1989,0.000,
27u,5/3/1989,0.000,
27u,5/4/1989,0.000,
27u,5/5/1989,0.000,
27u,5/6/1989,0.000,
27u,5/7/1989,0.000,
27u,5/8/1989,0.000,
27u,5/9/1989,0.010,
27u,5/10/1989,0.050,
27u,5/11/1989,0.000,
27u,5/12/1989,0.000,
27u,5/13/1989,0.000,
27u,5/14/1989,0.000,
27u,5/15/1989,0.000,
27u,5/16/1989,0.000,
27u,5/17/1989,0.930,
27u,5/18/1989,0.120,
27u,5/19/1989,0.000,
27u,5/20/1989,0.000,
27u,5/21/1989,0.000,
27u,5/22/1989,0.000,
27u,5/23/1989,0.380,
27u,5/24/1989,0.480,
27u,5/25/1989,0.060,
27u,5/26/1989,0.610,
27u,5/27/1989,0.510,
27u,5/28/1989,0.860,
27u,5/29/1989,0.000,
27u,5/30/1989,0.000,
27u,5/31/1989,0.000,
27u,6/1/1989,0.000,
27u,6/2/1989,0.000,
27u,6/3/1989,0.000,
27u,6/4/1989,0.000,
27u,6/5/1989,0.000,
27u,6/6/1989,0.000,
27u,6/7/1989,0.000,
27u,6/8/1989,0.000,
27u,6/9/1989,0.000,
27u,6/10/1989,0.000,
27u,6/11/1989,0.000,
27u,6/12/1989,0.000,
27u,6/13/1989,0.040,
27u,6/14/1989,0.310,
27u,6/15/1989,0.000,
27u,6/16/1989,0.050,
27u,6/17/1989,0.060,
27u,6/18/1989,0.010,
27u,6/19/1989,0.680,
27u,6/20/1989,0.000,
27u,6/21/1989,0.000,
27u,6/22/1989,0.000,
27u,6/23/1989,0.000,
27u,6/24/1989,0.000,
27u,6/25/1989,0.000,
27u,6/26/1989,0.000,
27u,6/27/1989,0.000,
27u,6/28/1989,0.090,
27u,6/29/1989,0.180,
27u,6/30/1989,0.190,
27u,7/1/1989,0.130,
27u,7/2/1989,0.010,
27u,7/3/1989,0.000,
27u,7/4/1989,0.000,
27u,7/5/1989,0.000,
27u,7/6/1989,0.000,
27u,7/7/1989,0.000,
27u,7/8/1989,0.000,
27u,7/9/1989,0.000,
27u,7/10/1989,0.000,
27u,7/11/1989,0.000,
27u,7/12/1989,0.000,
27u,7/13/1989,0.000,
27u,7/14/1989,0.000,
27u,7/15/1989,0.000,
27u,7/16/1989,0.600,
27u,7/17/1989,0.000,
27u,7/18/1989,0.000,
27u,7/19/1989,0.000,
27u,7/20/1989,0.000,
27u,7/21/1989,0.000,
27u,7/22/1989,0.000,
27u,7/23/1989,0.000,
27u,7/24/1989,0.000,
27u,7/25/1989,0.000,
27u,7/26/1989,0.000,
27u,7/27/1989,0.000,
27u,7/28/1989,0.000,
27u,7/29/1989,0.000,
27u,7/30/1989,0.090,
27u,7/31/1989,0.010,
27u,8/1/1989,0.000,
27u,8/2/1989,0.000,
27u,8/3/1989,0.000,
27u,8/4/1989,0.000,
27u,8/5/1989,0.000,
27u,8/6/1989,0.000,
27u,8/7/1989,0.000,
27u,8/8/1989,0.000,
27u,8/9/1989,0.000,
27u,8/10/1989,0.000,
27u,8/11/1989,0.000,
27u,8/12/1989,0.010,
27u,8/13/1989,0.000,
27u,8/14/1989,0.100,
27u,8/15/1989,0.060,
27u,8/16/1989,0.000,
27u,8/17/1989,0.000,
27u,8/18/1989,0.000,
27u,8/19/1989,0.000,
27u,8/20/1989,0.050,
27u,8/21/1989,0.540,
27u,8/22/1989,0.060,
27u,8/23/1989,0.000,
27u,8/24/1989,0.000,
27u,8/25/1989,0.000,
27u,8/26/1989,0.000,
27u,8/27/1989,0.000,
27u,8/28/1989,0.000,
27u,8/29/1989,0.000,
27u,8/30/1989,0.000,
27u,8/31/1989,0.000,
27u,9/1/1989,0.540,
27u,9/2/1989,0.000,
27u,9/3/1989,0.000,
27u,9/4/1989,0.000,
27u,9/5/1989,0.000,
27u,9/6/1989,0.000,
27u,9/7/1989,0.000,
27u,9/8/1989,0.000,
27u,9/9/1989,0.010,
27u,9/10/1989,0.000,
27u,9/11/1989,0.000,
27u,9/12/1989,0.000,
27u,9/13/1989,0.010,
27u,9/14/1989,0.000,
27u,9/15/1989,0.000,
27u,9/16/1989,0.060,
27u,9/17/1989,0.030,
27u,9/18/1989,0.000,
27u,9/19/1989,0.000,
27u,9/20/1989,0.000,
27u,9/21/1989,0.000,
27u,9/22/1989,0.000,
27u,9/23/1989,0.000,
27u,9/24/1989,0.000,
27u,9/25/1989,0.000,
27u,9/26/1989,0.090,
27u,9/27/1989,0.010,
27u,9/28/1989,0.000,
27u,9/29/1989,0.000,
27u,9/30/1989,0.020,
27u,10/1/1989,0.000,
27u,10/2/1989,0.000,
27u,10/3/1989,0.000,
27u,10/4/1989,0.010,
27u,10/5/1989,0.000,
27u,10/6/1989,0.000,
27u,10/7/1989,0.000,
27u,10/8/1989,0.000,
27u,10/9/1989,0.000,
27u,10/10/1989,0.560,
27u,10/11/1989,0.010,
27u,10/12/1989,0.160,
27u,10/13/1989,0.230,
27u,10/14/1989,0.050,
27u,10/15/1989,0.000,
27u,10/16/1989,0.000,
27u,10/17/1989,0.000,
27u,10/18/1989,0.210,
27u,10/19/1989,0.000,
27u,10/20/1989,0.720,
27u,10/21/1989,0.220,
27u,10/22/1989,0.790,
27u,10/23/1989,0.660,
27u,10/24/1989,0.000,
27u,10/25/1989,0.020,
27u,10/26/1989,0.490,
27u,10/27/1989,0.040,
27u,10/28/1989,0.020,
27u,10/29/1989,0.000,
27u,10/30/1989,0.050,
27u,10/31/1989,0.000,
27u,11/1/1989,0.000,
27u,11/2/1989,0.000,
27u,11/3/1989,0.070,
27u,11/4/1989,0.190,
27u,11/5/1989,0.010,
27u,11/6/1989,0.050,
27u,11/7/1989,0.000,
27u,11/8/1989,0.010,
27u,11/9/1989,0.000,
27u,11/10/1989,0.860,
27u,11/11/1989,0.980,
27u,11/12/1989,0.350,
27u,11/13/1989,0.100,
27u,11/14/1989,0.000,
27u,11/15/1989,0.000,
27u,11/16/1989,0.370,
27u,11/17/1989,0.000,
27u,11/18/1989,0.000,
27u,11/19/1989,0.350,
27u,11/20/1989,0.070,
27u,11/21/1989,0.070,
27u,11/22/1989,0.000,
27u,11/23/1989,0.300,
27u,11/24/1989,0.160,
27u,11/25/1989,0.250,
27u,11/26/1989,0.250,
27u,11/27/1989,0.000,
27u,11/28/1989,0.000,
27u,11/29/1989,0.000,
27u,11/30/1989,0.000,
27u,12/1/1989,0.000,
27u,12/2/1989,1.120,
27u,12/3/1989,0.810,
27u,12/4/1989,1.540,
27u,12/5/1989,0.000,
27u,12/6/1989,0.000,
27u,12/7/1989,0.310,
27u,12/8/1989,0.360,
27u,12/9/1989,0.120,
27u,12/10/1989,0.000,
27u,12/11/1989,0.010,
27u,12/12/1989,0.000,
27u,12/13/1989,0.000,
27u,12/14/1989,0.000,
27u,12/15/1989,0.000,
27u,12/16/1989,0.000,
27u,12/17/1989,0.000,
27u,12/18/1989,0.000,
27u,12/19/1989,0.060,
27u,12/20/1989,0.080,
27u,12/21/1989,0.000,
27u,12/22/1989,0.020,
27u,12/23/1989,0.090,
27u,12/24/1989,0.000,
27u,12/25/1989,0.010,
27u,12/26/1989,0.000,
27u,12/27/1989,0.180,
27u,12/28/1989,0.010,
27u,12/29/1989,0.100,
27u,12/30/1989,0.020,
27u,12/31/1989,0.080,
27u,1/1/1990,0.610,
27u,1/2/1990,0.180,
27u,1/3/1990,0.110,
27u,1/4/1990,0.080,
27u,1/5/1990,0.570,
27u,1/6/1990,0.860,
27u,1/7/1990,0.490,
27u,1/8/1990,0.490,
27u,1/9/1990,2.630,
27u,1/10/1990,0.010,
27u,1/11/1990,0.000,
27u,1/12/1990,0.000,
27u,1/13/1990,0.120,
27u,1/14/1990,0.090,
27u,1/15/1990,0.080,
27u,1/16/1990,0.010,
27u,1/17/1990,0.000,
27u,1/18/1990,0.010,
27u,1/19/1990,0.000,
27u,1/20/1990,0.000,
27u,1/21/1990,0.060,
27u,1/22/1990,0.320,
27u,1/23/1990,0.010,
27u,1/24/1990,0.000,
27u,1/25/1990,0.290,
27u,1/26/1990,0.000,
27u,1/27/1990,0.210,
27u,1/28/1990,0.410,
27u,1/29/1990,0.250,
27u,1/30/1990,0.290,
27u,1/31/1990,0.720,
27u,2/1/1990,0.030,
27u,2/2/1990,0.040,
27u,2/3/1990,0.560,
27u,2/4/1990,0.030,
27u,2/5/1990,0.600,
27u,2/6/1990,0.070,
27u,2/7/1990,0.150,
27u,2/8/1990,0.260,
27u,2/9/1990,0.030,
27u,2/10/1990,0.040,
27u,2/11/1990,0.670,
27u,2/12/1990,0.010,
27u,2/13/1990,0.000,
27u,2/14/1990,0.000,
27u,2/15/1990,0.080,
27u,2/16/1990,0.130,
27u,2/17/1990,0.180,
27u,2/18/1990,0.050,
27u,2/19/1990,0.010,
27u,2/20/1990,0.540,
27u,2/21/1990,0.010,
27u,2/22/1990,0.000,
27u,2/23/1990,0.000,
27u,2/24/1990,0.110,
27u,2/25/1990,0.000,
27u,2/26/1990,0.000,
27u,2/27/1990,0.000,
27u,2/28/1990,0.000,
27u,3/1/1990,0.000,
27u,3/2/1990,0.000,
27u,3/3/1990,0.020,
27u,3/4/1990,0.020,
27u,3/5/1990,0.000,
27u,3/6/1990,0.200,
27u,3/7/1990,0.980,
27u,3/8/1990,0.340,
27u,3/9/1990,0.850,
27u,3/10/1990,0.040,
27u,3/11/1990,0.020,
27u,3/12/1990,0.000,
27u,3/13/1990,0.350,
27u,3/14/1990,0.300,
27u,3/15/1990,0.030,
27u,3/16/1990,0.000,
27u,3/17/1990,0.200,
27u,3/18/1990,0.000,
27u,3/19/1990,0.040,
27u,3/20/1990,0.000,
27u,3/21/1990,0.000,
27u,3/22/1990,0.240,
27u,3/23/1990,0.020,
27u,3/24/1990,0.000,
27u,3/25/1990,0.000,
27u,3/26/1990,0.000,
27u,3/27/1990,0.010,
27u,3/28/1990,0.000,
27u,3/29/1990,0.000,
27u,3/30/1990,0.000,
27u,3/31/1990,0.000,
27u,4/1/1990,0.000,
27u,4/2/1990,0.000,
27u,4/3/1990,0.000,
27u,4/4/1990,0.000,
27u,4/5/1990,0.000,
27u,4/6/1990,0.000,
27u,4/7/1990,0.000,
27u,4/8/1990,0.000,
27u,4/9/1990,0.000,
27u,4/10/1990,0.000,
27u,4/11/1990,0.060,
27u,4/12/1990,0.010,
27u,4/13/1990,0.540,
27u,4/14/1990,0.010,
27u,4/15/1990,0.000,
27u,4/16/1990,0.000,
27u,4/17/1990,0.270,
27u,4/18/1990,0.000,
27u,4/19/1990,0.090,
27u,4/20/1990,0.150,
27u,4/21/1990,0.000,
27u,4/22/1990,0.310,
27u,4/23/1990,0.790,
27u,4/24/1990,0.070,
27u,4/25/1990,0.420,
27u,4/26/1990,0.000,
27u,4/27/1990,0.660,
27u,4/28/1990,0.050,
27u,4/29/1990,0.090,
27u,4/30/1990,0.000,
27u,5/1/1990,0.000,
27u,5/2/1990,0.270,
27u,5/3/1990,0.000,
27u,5/4/1990,0.000,
27u,5/5/1990,0.000,
27u,5/6/1990,0.080,
27u,5/7/1990,0.080,
27u,5/8/1990,0.000,
27u,5/9/1990,0.000,
27u,5/10/1990,0.000,
27u,5/11/1990,0.030,
27u,5/12/1990,0.000,
27u,5/13/1990,0.260,
27u,5/14/1990,0.100,
27u,5/15/1990,0.000,
27u,5/16/1990,0.000,
27u,5/17/1990,0.000,
27u,5/18/1990,0.040,
27u,5/19/1990,0.030,
27u,5/20/1990,0.210,
27u,5/21/1990,0.100,
27u,5/22/1990,0.100,
27u,5/23/1990,0.000,
27u,5/24/1990,0.000,
27u,5/25/1990,0.000,
27u,5/26/1990,0.000,
27u,5/27/1990,0.180,
27u,5/28/1990,0.070,
27u,5/29/1990,0.000,
27u,5/30/1990,0.510,
27u,5/31/1990,0.120,
27u,6/1/1990,0.070,
27u,6/2/1990,0.100,
27u,6/3/1990,0.900,
27u,6/4/1990,0.060,
27u,6/5/1990,0.000,
27u,6/6/1990,0.730,
27u,6/7/1990,0.000,
27u,6/8/1990,0.090,
27u,6/9/1990,0.490,
27u,6/10/1990,0.410,
27u,6/11/1990,0.000,
27u,6/12/1990,0.050,
27u,6/13/1990,0.040,
27u,6/14/1990,0.000,
27u,6/15/1990,0.000,
27u,6/16/1990,0.000,
27u,6/17/1990,0.000,
27u,6/18/1990,0.000,
27u,6/19/1990,0.000,
27u,6/20/1990,0.000,
27u,6/21/1990,0.000,
27u,6/22/1990,0.050,
27u,6/23/1990,0.000,
27u,6/24/1990,0.000,
27u,6/25/1990,0.000,
27u,6/26/1990,0.000,
27u,6/27/1990,0.000,
27u,6/28/1990,0.010,
27u,6/29/1990,0.000,
27u,6/30/1990,0.010,
27u,7/1/1990,0.000,
27u,7/2/1990,0.540,
27u,7/3/1990,0.000,
27u,7/4/1990,0.000,
27u,7/5/1990,0.210,
27u,7/6/1990,0.000,
27u,7/7/1990,0.000,
27u,7/8/1990,0.000,
27u,7/9/1990,0.000,
27u,7/10/1990,0.000,
27u,7/11/1990,0.000,
27u,7/12/1990,0.000,
27u,7/13/1990,0.000,
27u,7/14/1990,0.000,
27u,7/15/1990,0.000,
27u,7/16/1990,0.000,
27u,7/17/1990,0.000,
27u,7/18/1990,0.000,
27u,7/19/1990,0.000,
27u,7/20/1990,0.000,
27u,7/21/1990,0.000,
27u,7/22/1990,0.000,
27u,7/23/1990,0.000,
27u,7/24/1990,0.000,
27u,7/25/1990,0.120,
27u,7/26/1990,0.000,
27u,7/27/1990,0.000,
27u,7/28/1990,0.000,
27u,7/29/1990,0.000,
27u,7/30/1990,0.000,
27u,7/31/1990,0.000,
27u,8/1/1990,0.000,
27u,8/2/1990,0.000,
27u,8/3/1990,0.000,
27u,8/4/1990,0.000,
27u,8/5/1990,0.000,
27u,8/6/1990,0.000,
27u,8/7/1990,0.000,
27u,8/8/1990,0.000,
27u,8/9/1990,0.000,
27u,8/10/1990,0.000,
27u,8/11/1990,0.000,
27u,8/12/1990,0.000,
27u,8/13/1990,0.000,
27u,8/14/1990,0.000,
27u,8/15/1990,0.000,
27u,8/16/1990,0.000,
27u,8/17/1990,0.030,
27u,8/18/1990,0.390,
27u,8/19/1990,0.000,
27u,8/20/1990,0.010,
27u,8/21/1990,0.300,
27u,8/22/1990,0.020,
27u,8/23/1990,0.000,
27u,8/24/1990,0.000,
27u,8/25/1990,0.000,
27u,8/26/1990,0.000,
27u,8/27/1990,0.000,
27u,8/28/1990,0.000,
27u,8/29/1990,0.210,
27u,8/30/1990,0.150,
27u,8/31/1990,0.020,
27u,9/1/1990,0.010,
27u,9/2/1990,0.000,
27u,9/3/1990,0.000,
27u,9/4/1990,0.000,
27u,9/5/1990,0.000,
27u,9/6/1990,0.010,
27u,9/7/1990,0.000,
27u,9/8/1990,0.000,
27u,9/9/1990,0.000,
27u,9/10/1990,0.000,
27u,9/11/1990,0.000,
27u,9/12/1990,0.000,
27u,9/13/1990,0.000,
27u,9/14/1990,0.000,
27u,9/15/1990,0.000,
27u,9/16/1990,0.030,
27u,9/17/1990,0.000,
27u,9/18/1990,0.000,
27u,9/19/1990,0.000,
27u,9/20/1990,0.000,
27u,9/21/1990,0.000,
27u,9/22/1990,0.000,
27u,9/23/1990,0.000,
27u,9/24/1990,0.000,
27u,9/25/1990,0.000,
27u,9/26/1990,0.000,
27u,9/27/1990,0.000,
27u,9/28/1990,0.000,
27u,9/29/1990,0.000,
27u,9/30/1990,0.000,
27u,10/1/1990,0.510,
27u,10/2/1990,0.230,
27u,10/3/1990,0.100,
27u,10/4/1990,1.370,
27u,10/5/1990,0.080,
27u,10/6/1990,0.010,
27u,10/7/1990,0.000,
27u,10/8/1990,0.000,
27u,10/9/1990,0.220,
27u,10/10/1990,0.000,
27u,10/11/1990,0.120,
27u,10/12/1990,0.740,
27u,10/13/1990,0.000,
27u,10/14/1990,0.700,
27u,10/15/1990,0.370,E,
27u,10/16/1990,0.080,E,
27u,10/17/1990,0.160,E,
27u,10/18/1990,0.070,E,
27u,10/19/1990,0.020,E,
27u,10/20/1990,0.020,E,
27u,10/21/1990,0.710,E,
27u,10/22/1990,0.000,E,
27u,10/23/1990,0.000,E,
27u,10/24/1990,0.000,E,
27u,10/25/1990,0.160,E,
27u,10/26/1990,0.110,E,
27u,10/27/1990,0.110,E,
27u,10/28/1990,0.140,E,
27u,10/29/1990,0.280,E,
27u,10/30/1990,0.060,E,
27u,10/31/1990,0.560,E,
27u,11/1/1990,0.220,E,
27u,11/2/1990,0.000,E,
27u,11/3/1990,0.030,E,
27u,11/4/1990,0.150,
27u,11/5/1990,0.060,
27u,11/6/1990,0.010,
27u,11/7/1990,0.010,
27u,11/8/1990,0.140,
27u,11/9/1990,0.250,
27u,11/10/1990,0.150,
27u,11/11/1990,0.000,
27u,11/12/1990,0.320,
27u,11/13/1990,0.530,
27u,11/14/1990,0.080,
27u,11/15/1990,0.030,
27u,11/16/1990,0.010,
27u,11/17/1990,0.300,
27u,11/18/1990,0.000,
27u,11/19/1990,0.250,
27u,11/20/1990,0.040,
27u,11/21/1990,0.240,
27u,11/22/1990,0.110,
27u,11/23/1990,0.580,
27u,11/24/1990,2.000,
27u,11/25/1990,0.520,
27u,11/26/1990,0.060,
27u,11/27/1990,0.070,
27u,11/28/1990,0.000,
27u,11/29/1990,0.490,
27u,11/30/1990,0.240,
27u,12/1/1990,0.090,
27u,12/2/1990,0.150,
27u,12/3/1990,0.130,
27u,12/4/1990,1.050,
27u,12/5/1990,0.000,
27u,12/6/1990,0.000,
27u,12/7/1990,0.000,
27u,12/8/1990,0.750,
27u,12/9/1990,0.250,
27u,12/10/1990,0.310,
27u,12/11/1990,0.020,
27u,12/12/1990,0.070,
27u,12/13/1990,0.010,
27u,12/14/1990,0.010,
27u,12/15/1990,0.210,
27u,12/16/1990,0.230,
27u,12/17/1990,0.040,
27u,12/18/1990,0.150,
27u,12/19/1990,0.000,
27u,12/20/1990,0.000,
27u,12/21/1990,0.000,
27u,12/22/1990,0.000,
27u,12/23/1990,0.000,
27u,12/24/1990,0.000,
27u,12/25/1990,0.010,
27u,12/26/1990,0.850,
27u,12/27/1990,0.270,
27u,12/28/1990,0.000,
27u,12/29/1990,0.000,
27u,12/30/1990,0.080,
27u,12/31/1990,0.000,
27u,1/1/1991,0.000,
27u,1/2/1991,0.010,
27u,1/3/1991,0.000,
27u,1/4/1991,0.000,
27u,1/5/1991,0.000,
27u,1/6/1991,0.000,
27u,1/7/1991,0.500,
27u,1/8/1991,0.560,
27u,1/9/1991,0.200,
27u,1/10/1991,0.230,
27u,1/11/1991,0.810,
27u,1/12/1991,0.510,
27u,1/13/1991,0.050,
27u,1/14/1991,0.050,
27u,1/15/1991,0.300,
27u,1/16/1991,0.000,
27u,1/17/1991,0.070,
27u,1/18/1991,0.000,
27u,1/19/1991,0.000,
27u,1/20/1991,0.000,
27u,1/21/1991,0.000,
27u,1/22/1991,0.000,
27u,1/23/1991,0.000,
27u,1/24/1991,0.000,
27u,1/25/1991,0.000,
27u,1/26/1991,0.000,
27u,1/27/1991,0.000,
27u,1/28/1991,0.000,
27u,1/29/1991,0.000,
27u,1/30/1991,0.000,
27u,1/31/1991,0.450,
27u,2/1/1991,0.550,
27u,2/2/1991,0.770,
27u,2/3/1991,0.570,
27u,2/4/1991,0.730,
27u,2/5/1991,0.480,
27u,2/6/1991,0.000,
27u,2/7/1991,0.010,
27u,2/8/1991,0.090,
27u,2/9/1991,0.000,
27u,2/10/1991,0.010,
27u,2/11/1991,0.150,
27u,2/12/1991,0.050,
27u,2/13/1991,0.380,
27u,2/14/1991,0.050,
27u,2/15/1991,0.110,
27u,2/16/1991,0.050,
27u,2/17/1991,0.420,
27u,2/18/1991,0.360,
27u,2/19/1991,0.490,
27u,2/20/1991,0.020,
27u,2/21/1991,0.010,
27u,2/22/1991,0.000,
27u,2/23/1991,0.000,
27u,2/24/1991,0.000,
27u,2/25/1991,0.000,
27u,2/26/1991,0.000,
27u,2/27/1991,0.000,
27u,2/28/1991,0.000,
27u,3/1/1991,0.640,
27u,3/2/1991,1.400,
27u,3/3/1991,0.700,
27u,3/4/1991,0.170,
27u,3/5/1991,0.170,
27u,3/6/1991,0.010,
27u,3/7/1991,0.060,
27u,3/8/1991,0.000,
27u,3/9/1991,0.180,
27u,3/10/1991,0.100,
27u,3/11/1991,0.190,
27u,3/12/1991,0.610,
27u,3/13/1991,0.000,
27u,3/14/1991,0.010,
27u,3/15/1991,0.000,
27u,3/16/1991,0.000,
27u,3/17/1991,0.000,
27u,3/18/1991,0.170,
27u,3/19/1991,0.070,
27u,3/20/1991,0.000,
27u,3/21/1991,0.050,
27u,3/22/1991,0.020,
27u,3/23/1991,0.040,
27u,3/24/1991,0.250,
27u,3/25/1991,0.000,
27u,3/26/1991,0.000,
27u,3/27/1991,0.000,
27u,3/28/1991,0.000,
27u,3/29/1991,0.010,
27u,3/30/1991,0.000,
27u,3/31/1991,0.000,
27u,4/1/1991,0.000,
27u,4/2/1991,0.290,
27u,4/3/1991,0.760,
27u,4/4/1991,2.000,
27u,4/5/1991,0.750,
27u,4/6/1991,0.090,
27u,4/7/1991,0.130,
27u,4/8/1991,0.290,
27u,4/9/1991,0.220,
27u,4/10/1991,0.080,
27u,4/11/1991,0.000,
