Enumclaw_site, Date, Precipitation, Condition
44u,8/19/1998,0.000,
44u,8/20/1998,0.000,
44u,8/21/1998,0.070,
44u,8/22/1998,0.000,
44u,8/23/1998,0.040,
44u,8/24/1998,0.000,
44u,8/25/1998,0.000,
44u,8/26/1998,0.000,
44u,8/27/1998,0.000,
44u,8/28/1998,0.000,
44u,8/29/1998,0.000,
44u,8/30/1998,0.000,
44u,8/31/1998,0.000,
44u,9/1/1998,0.000,
44u,9/2/1998,0.000,
44u,9/3/1998,0.000,
44u,9/4/1998,0.000,
44u,9/5/1998,0.000,
44u,9/6/1998,0.000,
44u,9/7/1998,0.000,
44u,9/8/1998,0.000,
44u,9/9/1998,0.000,
44u,9/10/1998,0.000,
44u,9/11/1998,0.000,
44u,9/12/1998,0.000,
44u,9/13/1998,0.000,
44u,9/14/1998,0.000,
44u,9/15/1998,0.000,
44u,9/16/1998,0.000,
44u,9/17/1998,0.160,
44u,9/18/1998,1.250,
44u,9/19/1998,0.140,
44u,9/20/1998,0.000,
44u,9/21/1998,0.000,
44u,9/22/1998,0.000,
44u,9/23/1998,0.000,
44u,9/24/1998,0.230,
44u,9/25/1998,0.170,
44u,9/26/1998,0.000,
44u,9/27/1998,0.000,
44u,9/28/1998,0.000,
44u,9/29/1998,0.000,
44u,9/30/1998,0.000,
44u,10/1/1998,0.310,
44u,10/2/1998,0.320,
44u,10/3/1998,0.590,
44u,10/4/1998,0.100,
44u,10/5/1998,0.000,
44u,10/6/1998,0.000,
44u,10/7/1998,0.000,
44u,10/8/1998,0.420,
44u,10/9/1998,0.120,
44u,10/10/1998,0.010,
44u,10/11/1998,0.000,
44u,10/12/1998,0.740,
44u,10/13/1998,0.620,
44u,10/14/1998,0.130,
44u,10/15/1998,0.260,
44u,10/16/1998,0.000,
44u,10/17/1998,0.170,
44u,10/18/1998,0.000,
44u,10/19/1998,0.000,
44u,10/20/1998,0.000,
44u,10/21/1998,0.000,
44u,10/22/1998,0.000,
44u,10/23/1998,0.000,
44u,10/24/1998,0.050,
44u,10/25/1998,0.000,
44u,10/26/1998,0.000,
44u,10/27/1998,0.310,
44u,10/28/1998,0.390,
44u,10/29/1998,0.000,
44u,10/30/1998,0.000,
44u,10/31/1998,0.080,
44u,11/1/1998,0.070,
44u,11/2/1998,0.010,
44u,11/3/1998,0.120,
44u,11/4/1998,0.470,
44u,11/5/1998,0.250,
44u,11/6/1998,0.000,
44u,11/7/1998,0.000,
44u,11/8/1998,0.080,
44u,11/9/1998,0.120,
44u,11/10/1998,0.000,
44u,11/11/1998,0.240,
44u,11/12/1998,0.480,
44u,11/13/1998,1.330,
44u,11/14/1998,0.350,
44u,11/15/1998,0.460,
44u,11/16/1998,0.090,
44u,11/17/1998,0.000,
44u,11/18/1998,0.000,
44u,11/19/1998,0.450,
44u,11/20/1998,1.420,
44u,11/21/1998,1.110,
44u,11/22/1998,0.290,
44u,11/23/1998,0.160,
44u,11/24/1998,0.210,
44u,11/25/1998,3.710,
44u,11/26/1998,0.990,
44u,11/27/1998,0.070,
44u,11/28/1998,0.000,
44u,11/29/1998,0.310,
44u,11/30/1998,0.520,
44u,12/1/1998,0.360,
44u,12/2/1998,0.980,
44u,12/3/1998,0.060,
44u,12/4/1998,0.000,
44u,12/5/1998,0.190,
44u,12/6/1998,0.030,
44u,12/7/1998,0.500,
44u,12/8/1998,0.340,
44u,12/9/1998,0.000,
44u,12/10/1998,0.300,
44u,12/11/1998,1.010,
44u,12/12/1998,0.710,
44u,12/13/1998,0.610,
44u,12/14/1998,0.020,
44u,12/15/1998,0.020,
44u,12/16/1998,0.000,
44u,12/17/1998,0.390,
44u,12/18/1998,0.000,
44u,12/19/1998,0.000,
44u,12/20/1998,0.000,
44u,12/21/1998,0.000,
44u,12/22/1998,0.000,
44u,12/23/1998,0.000,
44u,12/24/1998,0.600,
44u,12/25/1998,1.080,
44u,12/26/1998,0.010,
44u,12/27/1998,2.020,
44u,12/28/1998,0.320,
44u,12/29/1998,1.560,
44u,12/30/1998,0.000,
44u,12/31/1998,0.180,
44u,1/1/1999,0.000,
44u,1/2/1999,0.000,
44u,1/3/1999,0.000,
44u,1/4/1999,0.000,
44u,1/5/1999,0.000,
44u,1/6/1999,0.310,
44u,1/7/1999,0.070,
44u,1/8/1999,0.000,
44u,1/9/1999,0.230,
44u,1/10/1999,0.590,
44u,1/11/1999,0.000,
44u,1/12/1999,0.150,
44u,1/13/1999,0.350,
44u,1/14/1999,1.460,
44u,1/15/1999,0.060,
44u,1/16/1999,0.490,
44u,1/17/1999,0.820,
44u,1/18/1999,0.290,
44u,1/19/1999,0.180,
44u,1/20/1999,0.210,
44u,1/21/1999,0.740,
44u,1/22/1999,0.350,
44u,1/23/1999,0.270,
44u,1/24/1999,0.000,
44u,1/25/1999,0.000,
44u,1/26/1999,0.000,
44u,1/27/1999,0.280,
44u,1/28/1999,1.200,
44u,1/29/1999,0.320,
44u,1/30/1999,0.640,
44u,1/31/1999,0.510,
44u,2/1/1999,0.040,
44u,2/2/1999,0.320,
44u,2/3/1999,0.150,
44u,2/4/1999,0.160,
44u,2/5/1999,0.010,
44u,2/6/1999,0.420,
44u,2/7/1999,0.580,
44u,2/8/1999,0.140,
44u,2/9/1999,0.000,
44u,2/10/1999,0.010,
44u,2/11/1999,0.000,
44u,2/12/1999,0.000,
44u,2/13/1999,0.230,
44u,2/14/1999,0.000,
44u,2/15/1999,0.000,
44u,2/16/1999,0.270,
44u,2/17/1999,0.300,
44u,2/18/1999,0.400,
44u,2/19/1999,0.100,
44u,2/20/1999,0.000,
44u,2/21/1999,0.000,
44u,2/22/1999,0.220,
44u,2/23/1999,0.280,
44u,2/24/1999,0.180,
44u,2/25/1999,0.060,
44u,2/26/1999,0.000,
44u,2/27/1999,1.540,
44u,2/28/1999,0.750,
44u,3/1/1999,0.340,
44u,3/2/1999,0.100,
44u,3/3/1999,0.070,
44u,3/4/1999,0.080,
44u,3/5/1999,0.000,
44u,3/6/1999,0.000,
44u,3/7/1999,0.010,
44u,3/8/1999,0.570,
44u,3/9/1999,0.070,
44u,3/10/1999,0.000,
44u,3/11/1999,0.000,
44u,3/12/1999,0.590,
44u,3/13/1999,0.500,
44u,3/14/1999,0.630,
44u,3/15/1999,0.030,
44u,3/16/1999,0.000,
44u,3/17/1999,0.000,
44u,3/18/1999,0.010,
44u,3/19/1999,0.000,
44u,3/20/1999,0.000,
44u,3/21/1999,0.210,
44u,3/22/1999,0.250,
44u,3/23/1999,0.020,
44u,3/24/1999,0.560,
44u,3/25/1999,0.090,
44u,3/26/1999,0.480,
44u,3/27/1999,0.060,
44u,3/28/1999,0.150,
44u,3/29/1999,0.370,
44u,3/30/1999,0.190,
44u,3/31/1999,0.000,
44u,4/1/1999,0.000,
44u,4/2/1999,0.120,
44u,4/3/1999,0.150,
44u,4/4/1999,0.020,
44u,4/5/1999,0.000,
44u,4/6/1999,0.000,
44u,4/7/1999,0.160,
44u,4/8/1999,0.170,
44u,4/9/1999,0.000,
44u,4/10/1999,0.000,
44u,4/11/1999,0.000,
44u,4/12/1999,0.030,
44u,4/13/1999,0.000,
44u,4/14/1999,0.000,
44u,4/15/1999,0.000,
44u,4/16/1999,0.000,
44u,4/17/1999,0.000,
44u,4/18/1999,0.060,
44u,4/19/1999,0.450,
44u,4/20/1999,0.220,
44u,4/21/1999,0.030,
44u,4/22/1999,0.000,
44u,4/23/1999,0.000,
44u,4/24/1999,0.000,
44u,4/25/1999,0.360,
44u,4/26/1999,0.010,
44u,4/27/1999,0.100,
44u,4/28/1999,0.000,
44u,4/29/1999,0.000,
44u,4/30/1999,0.040,
44u,5/1/1999,0.630,
44u,5/2/1999,0.540,
44u,5/3/1999,0.760,
44u,5/4/1999,0.080,
44u,5/5/1999,0.000,
44u,5/6/1999,0.370,
44u,5/7/1999,0.330,
44u,5/8/1999,0.120,
44u,5/9/1999,0.140,
44u,5/10/1999,0.000,
44u,5/11/1999,0.160,
44u,5/12/1999,0.030,
44u,5/13/1999,0.190,
44u,5/14/1999,0.060,
44u,5/15/1999,0.050,
44u,5/16/1999,0.180,
44u,5/17/1999,0.800,
44u,5/18/1999,0.100,
44u,5/19/1999,0.000,
44u,5/20/1999,0.000,
44u,5/21/1999,0.000,
44u,5/22/1999,0.000,
44u,5/23/1999,0.000,
44u,5/24/1999,0.000,
44u,5/25/1999,0.200,
44u,5/26/1999,0.000,
44u,5/27/1999,0.000,
44u,5/28/1999,0.000,
44u,5/29/1999,0.000,
44u,5/30/1999,0.000,
44u,5/31/1999,0.400,
44u,6/1/1999,0.350,
44u,6/2/1999,0.000,
44u,6/3/1999,0.000,
44u,6/4/1999,0.030,
44u,6/5/1999,0.350,
44u,6/6/1999,0.390,
44u,6/7/1999,0.110,
44u,6/8/1999,0.260,
44u,6/9/1999,0.010,
44u,6/10/1999,0.000,
44u,6/11/1999,0.000,
44u,6/12/1999,0.000,
44u,6/13/1999,0.000,
44u,6/14/1999,0.000,
44u,6/15/1999,0.000,
44u,6/16/1999,0.000,
44u,6/17/1999,0.000,
44u,6/18/1999,0.100,
44u,6/19/1999,0.000,
44u,6/20/1999,0.340,
44u,6/21/1999,0.660,
44u,6/22/1999,0.000,
44u,6/23/1999,0.150,
44u,6/24/1999,1.380,
44u,6/25/1999,0.160,
44u,6/26/1999,0.020,
44u,6/27/1999,0.000,
44u,6/28/1999,0.130,E,
44u,6/29/1999,0.010,
44u,6/30/1999,0.310,
44u,7/1/1999,0.000,
44u,7/2/1999,0.110,
44u,7/3/1999,0.200,
44u,7/4/1999,0.320,
44u,7/5/1999,0.000,
44u,7/6/1999,0.000,
44u,7/7/1999,0.040,
44u,7/8/1999,0.000,
44u,7/9/1999,0.000,
44u,7/10/1999,0.000,
44u,7/11/1999,0.000,
44u,7/12/1999,0.000,
44u,7/13/1999,0.000,
44u,7/14/1999,0.000,
44u,7/15/1999,0.040,
44u,7/16/1999,1.010,
44u,7/17/1999,0.730,
44u,7/18/1999,0.000,
44u,7/19/1999,0.030,
44u,7/20/1999,0.000,
44u,7/21/1999,0.000,
44u,7/22/1999,0.010,
44u,7/23/1999,0.000,
44u,7/24/1999,0.000,
44u,7/25/1999,0.000,
44u,7/26/1999,0.000,
44u,7/27/1999,0.000,
44u,7/28/1999,0.010,
44u,7/29/1999,0.000,
44u,7/30/1999,0.010,
44u,7/31/1999,0.000,
44u,8/1/1999,0.010,
44u,8/2/1999,0.000,
44u,8/3/1999,0.050,
44u,8/4/1999,0.180,
44u,8/5/1999,1.170,
44u,8/6/1999,0.780,
44u,8/7/1999,0.670,
44u,8/8/1999,0.000,
44u,8/9/1999,0.000,
44u,8/10/1999,0.000,
44u,8/11/1999,0.000,
44u,8/12/1999,0.000,
44u,8/13/1999,0.490,
44u,8/14/1999,0.010,
44u,8/15/1999,0.280,
44u,8/16/1999,0.000,
44u,8/17/1999,0.010,
44u,8/18/1999,0.010,
44u,8/19/1999,0.040,
44u,8/20/1999,0.000,
44u,8/21/1999,0.000,
44u,8/22/1999,0.000,
44u,8/23/1999,0.000,
44u,8/24/1999,0.000,
44u,8/25/1999,0.000,
44u,8/26/1999,0.000,
44u,8/27/1999,0.000,
44u,8/28/1999,0.000,
44u,8/29/1999,0.200,
44u,8/30/1999,0.060,
44u,8/31/1999,0.070,
44u,9/1/1999,0.000,
44u,9/2/1999,0.000,
44u,9/3/1999,0.000,
44u,9/4/1999,0.000,
44u,9/5/1999,0.020,
44u,9/6/1999,0.000,
44u,9/7/1999,0.000,
44u,9/8/1999,0.000,
44u,9/9/1999,0.000,
44u,9/10/1999,0.000,
44u,9/11/1999,0.000,
44u,9/12/1999,0.000,
44u,9/13/1999,0.000,
44u,9/14/1999,0.000,
44u,9/15/1999,0.000,
44u,9/16/1999,0.000,
44u,9/17/1999,0.000,
44u,9/18/1999,0.000,
44u,9/19/1999,0.000,
44u,9/20/1999,0.000,
44u,9/21/1999,0.000,
44u,9/22/1999,0.000,
44u,9/23/1999,0.110,
44u,9/24/1999,0.070,
44u,9/25/1999,0.150,
44u,9/26/1999,0.000,
44u,9/27/1999,0.000,
44u,9/28/1999,0.000,
44u,9/29/1999,0.000,
44u,9/30/1999,0.000,
44u,10/1/1999,0.000,
44u,10/2/1999,0.000,
44u,10/3/1999,0.000,
44u,10/4/1999,0.000,
44u,10/5/1999,0.000,
44u,10/6/1999,0.010,
44u,10/7/1999,0.420,
44u,10/8/1999,1.580,
44u,10/9/1999,0.010,
44u,10/10/1999,0.000,
44u,10/11/1999,0.370,
44u,10/12/1999,0.000,
44u,10/13/1999,0.340,
44u,10/14/1999,0.080,
44u,10/15/1999,0.000,
44u,10/16/1999,0.000,
44u,10/17/1999,0.000,
44u,10/18/1999,0.000,
44u,10/19/1999,0.000,
44u,10/20/1999,0.000,
44u,10/21/1999,0.000,
44u,10/22/1999,0.000,
44u,10/23/1999,0.100,
44u,10/24/1999,0.000,
44u,10/25/1999,0.470,
44u,10/26/1999,0.000,
44u,10/27/1999,0.360,
44u,10/28/1999,0.300,
44u,10/29/1999,0.070,
44u,10/30/1999,0.190,
44u,10/31/1999,0.290,
44u,11/1/1999,0.000,
44u,11/2/1999,0.000,
44u,11/3/1999,0.150,
44u,11/4/1999,0.000,
44u,11/5/1999,0.340,
44u,11/6/1999,0.440,
44u,11/7/1999,0.000,
44u,11/8/1999,0.080,
44u,11/9/1999,0.120,
44u,11/10/1999,0.890,
44u,11/11/1999,0.990,
44u,11/12/1999,3.630,
44u,11/13/1999,1.200,
44u,11/14/1999,0.010,
44u,11/15/1999,0.080,
44u,11/16/1999,0.760,
44u,11/17/1999,0.680,
44u,11/18/1999,0.000,
44u,11/19/1999,0.330,
44u,11/20/1999,0.290,
44u,11/21/1999,0.500,
44u,11/22/1999,0.310,
44u,11/23/1999,0.000,
44u,11/24/1999,0.900,
44u,11/25/1999,3.220,
44u,11/26/1999,0.310,
44u,11/27/1999,0.290,
44u,11/28/1999,0.000,
44u,11/29/1999,0.320,
44u,11/30/1999,0.080,
44u,12/1/1999,0.120,
44u,12/2/1999,0.230,
44u,12/3/1999,0.000,
44u,12/4/1999,0.000,
44u,12/5/1999,0.290,
44u,12/6/1999,0.430,
44u,12/7/1999,0.000,
44u,12/8/1999,0.100,
44u,12/9/1999,0.140,
44u,12/10/1999,0.420,
44u,12/11/1999,0.110,
44u,12/12/1999,0.710,
44u,12/13/1999,0.180,
44u,12/14/1999,0.250,
44u,12/15/1999,1.160,
44u,12/16/1999,0.140,
44u,12/17/1999,0.650,
44u,12/18/1999,0.140,
44u,12/19/1999,0.060,
44u,12/20/1999,0.000,
44u,12/21/1999,0.000,
44u,12/22/1999,0.000,
44u,12/23/1999,0.000,
44u,12/24/1999,0.000,
44u,12/25/1999,0.000,
44u,12/26/1999,0.000,
44u,12/27/1999,0.000,
44u,12/28/1999,0.000,
44u,12/29/1999,0.000,
44u,12/30/1999,0.000,
44u,12/31/1999,0.510,
44u,1/1/2000,0.280,
44u,1/2/2000,0.000,
44u,1/3/2000,0.430,
44u,1/4/2000,0.150,
44u,1/5/2000,0.000,
44u,1/6/2000,0.050,
44u,1/7/2000,0.040,
44u,1/8/2000,0.570,
44u,1/9/2000,0.200,
44u,1/10/2000,0.430,
44u,1/11/2000,0.190,
44u,1/12/2000,0.050,
44u,1/13/2000,0.070,
44u,1/14/2000,0.400,
44u,1/15/2000,0.010,
44u,1/16/2000,0.160,
44u,1/17/2000,0.000,
44u,1/18/2000,0.000,
44u,1/19/2000,0.040,
44u,1/20/2000,0.310,
44u,1/21/2000,0.040,
44u,1/22/2000,0.030,
44u,1/23/2000,0.000,
44u,1/24/2000,0.000,
44u,1/25/2000,0.380,
44u,1/26/2000,0.020,
44u,1/27/2000,0.000,
44u,1/28/2000,0.000,
44u,1/29/2000,0.000,
44u,1/30/2000,0.040,
44u,1/31/2000,0.600,
44u,2/1/2000,1.950,
44u,2/2/2000,0.040,
44u,2/3/2000,0.000,
44u,2/4/2000,0.000,
44u,2/5/2000,0.110,
44u,2/6/2000,0.020,
44u,2/7/2000,0.470,
44u,2/8/2000,0.870,
44u,2/9/2000,0.000,
44u,2/10/2000,0.000,
44u,2/11/2000,0.010,
44u,2/12/2000,0.150,
44u,2/13/2000,0.000,
44u,2/14/2000,0.510,
44u,2/15/2000,0.040,
44u,2/16/2000,0.000,
44u,2/17/2000,0.000,
44u,2/18/2000,0.000,
44u,2/19/2000,0.000,
44u,2/20/2000,0.000,
44u,2/21/2000,0.680,
44u,2/22/2000,0.600,
44u,2/23/2000,0.000,
44u,2/24/2000,0.000,
44u,2/25/2000,0.330,
44u,2/26/2000,0.270,
44u,2/27/2000,0.600,
44u,2/28/2000,0.140,
44u,2/29/2000,0.550,
44u,3/1/2000,0.010,
44u,3/2/2000,0.420,
44u,3/3/2000,0.640,
44u,3/4/2000,0.830,
44u,3/5/2000,0.040,
44u,3/6/2000,0.000,
44u,3/7/2000,0.000,
44u,3/8/2000,0.030,
44u,3/9/2000,0.060,
44u,3/10/2000,0.070,
44u,3/11/2000,0.090,
44u,3/12/2000,0.000,
44u,3/13/2000,0.750,
44u,3/14/2000,0.380,
44u,3/15/2000,0.000,
44u,3/16/2000,0.500,
44u,3/17/2000,0.070,
44u,3/18/2000,0.640,
44u,3/19/2000,0.170,
44u,3/20/2000,0.000,
44u,3/21/2000,0.000,
44u,3/22/2000,1.080,
44u,3/23/2000,0.000,
44u,3/24/2000,0.000,
44u,3/25/2000,0.000,
44u,3/26/2000,0.000,
44u,3/27/2000,0.310,
44u,3/28/2000,0.030,
44u,3/29/2000,0.040,
44u,3/30/2000,0.000,
44u,3/31/2000,0.000,
44u,4/1/2000,0.000,
44u,4/2/2000,0.000,
44u,4/3/2000,0.000,
44u,4/4/2000,0.270,
44u,4/5/2000,0.020,
44u,4/6/2000,0.400,
44u,4/7/2000,0.000,
44u,4/8/2000,0.000,
44u,4/9/2000,0.010,
44u,4/10/2000,0.000,
44u,4/11/2000,0.000,
44u,4/12/2000,0.000,
44u,4/13/2000,1.000,E,
44u,4/14/2000,0.550,E,
44u,4/15/2000,0.250,E,
44u,4/16/2000,0.000,E,
44u,4/17/2000,0.010,E,
44u,4/18/2000,0.000,E,
44u,4/19/2000,0.000,
44u,4/20/2000,0.000,
44u,4/21/2000,0.380,
44u,4/22/2000,0.080,
44u,4/23/2000,0.390,
44u,4/24/2000,0.000,
44u,4/25/2000,0.520,
44u,4/26/2000,0.000,
44u,4/27/2000,0.470,
44u,4/28/2000,0.170,
44u,4/29/2000,0.000,
44u,4/30/2000,0.000,
44u,5/1/2000,0.290,
44u,5/2/2000,0.120,
44u,5/3/2000,0.690,
44u,5/4/2000,0.240,
44u,5/5/2000,0.280,
44u,5/6/2000,0.000,
44u,5/7/2000,0.000,
44u,5/8/2000,0.480,
44u,5/9/2000,0.850,
44u,5/10/2000,0.220,
44u,5/11/2000,0.070,
44u,5/12/2000,0.000,
44u,5/13/2000,0.000,
44u,5/14/2000,0.010,
44u,5/15/2000,0.080,
44u,5/16/2000,0.000,
44u,5/17/2000,0.000,
44u,5/18/2000,0.530,
44u,5/19/2000,0.200,
44u,5/20/2000,0.030,
44u,5/21/2000,0.310,
44u,5/22/2000,0.010,
44u,5/23/2000,0.000,
44u,5/24/2000,0.000,
44u,5/25/2000,0.000,
44u,5/26/2000,0.210,
44u,5/27/2000,0.280,
44u,5/28/2000,0.330,
44u,5/29/2000,0.100,
44u,5/30/2000,0.200,
44u,5/31/2000,0.280,
44u,6/1/2000,0.000,
44u,6/2/2000,0.000,
44u,6/3/2000,0.000,
44u,6/4/2000,0.000,
44u,6/5/2000,0.000,
44u,6/6/2000,0.110,
44u,6/7/2000,0.160,
44u,6/8/2000,0.150,
44u,6/9/2000,0.340,
44u,6/10/2000,0.070,
44u,6/11/2000,0.940,
44u,6/12/2000,0.950,
44u,6/13/2000,0.010,
44u,6/14/2000,0.400,
44u,6/15/2000,0.010,
44u,6/16/2000,0.000,
44u,6/17/2000,0.000,
44u,6/18/2000,0.000,
44u,6/19/2000,0.000,
44u,6/20/2000,0.000,
44u,6/21/2000,0.000,
44u,6/22/2000,0.000,
44u,6/23/2000,0.000,
44u,6/24/2000,0.280,
44u,6/25/2000,0.000,
44u,6/26/2000,0.000,
44u,6/27/2000,0.000,
44u,6/28/2000,0.000,
44u,6/29/2000,0.000,
44u,6/30/2000,0.000,
44u,7/1/2000,0.000,
44u,7/2/2000,0.380,
44u,7/3/2000,0.820,
44u,7/4/2000,0.030,
44u,7/5/2000,0.000,
44u,7/6/2000,0.000,
44u,7/7/2000,0.000,
44u,7/8/2000,0.000,
44u,7/9/2000,0.010,
44u,7/10/2000,0.000,
44u,7/11/2000,0.000,
44u,7/12/2000,0.000,
44u,7/13/2000,0.000,
44u,7/14/2000,0.000,
44u,7/15/2000,0.000,
44u,7/16/2000,0.000,
44u,7/17/2000,0.000,
44u,7/18/2000,0.000,
44u,7/19/2000,0.000,
44u,7/20/2000,0.000,
44u,7/21/2000,0.000,
44u,7/22/2000,0.700,
44u,7/23/2000,0.010,
44u,7/24/2000,0.000,
44u,7/25/2000,0.000,
44u,7/26/2000,0.000,
44u,7/27/2000,0.000,
44u,7/28/2000,0.000,
44u,7/29/2000,0.000,
44u,7/30/2000,0.000,
44u,7/31/2000,0.000,
44u,8/1/2000,0.010,
44u,8/2/2000,0.000,
44u,8/3/2000,0.000,
44u,8/4/2000,0.000,
44u,8/5/2000,0.000,
44u,8/6/2000,0.000,
44u,8/7/2000,0.000,
44u,8/8/2000,0.000,
44u,8/9/2000,0.000,
44u,8/10/2000,0.010,
44u,8/11/2000,0.000,
44u,8/12/2000,0.000,
44u,8/13/2000,0.000,
44u,8/14/2000,0.000,
44u,8/15/2000,0.000,
44u,8/16/2000,0.000,
44u,8/17/2000,0.000,
44u,8/18/2000,0.340,
44u,8/19/2000,0.040,
44u,8/20/2000,0.010,
44u,8/21/2000,0.000,
44u,8/22/2000,0.000,
44u,8/23/2000,0.000,
44u,8/24/2000,0.000,
44u,8/25/2000,0.000,
44u,8/26/2000,0.010,
44u,8/27/2000,0.000,
44u,8/28/2000,0.000,
