Site_Code,Collect Date (local),Precipitation (inches),E = Estimate; W = Warning; P = Provisional; S = Snow Or Ice
42u,11/2/1990,0.000,
42u,11/3/1990,0.140,
42u,11/4/1990,0.120,
42u,11/5/1990,0.000,
42u,11/6/1990,0.000,
42u,11/7/1990,0.120,
42u,11/8/1990,0.160,
42u,11/9/1990,2.520,
42u,11/10/1990,0.700,
42u,11/11/1990,0.000,
42u,11/12/1990,0.500,
42u,11/13/1990,0.820,
42u,11/14/1990,0.120,
42u,11/15/1990,0.000,
42u,11/16/1990,0.020,
42u,11/17/1990,0.320,
42u,11/18/1990,0.000,
42u,11/19/1990,0.060,
42u,11/20/1990,0.020,
42u,11/21/1990,0.020,
42u,11/22/1990,0.000,
42u,11/23/1990,0.740,
42u,11/24/1990,2.300,
42u,11/25/1990,0.040,
42u,11/26/1990,0.100,
42u,11/27/1990,0.000,
42u,11/28/1990,0.020,
42u,11/29/1990,0.380,
42u,11/30/1990,0.200,
42u,12/1/1990,0.260,
42u,12/2/1990,0.060,
42u,12/3/1990,0.140,
42u,12/4/1990,1.200,
42u,12/5/1990,0.000,
42u,12/6/1990,0.000,
42u,12/7/1990,0.020,
42u,12/8/1990,0.620,
42u,12/9/1990,0.300,
42u,12/10/1990,0.180,
42u,12/11/1990,0.060,
42u,12/12/1990,0.020,
42u,12/13/1990,0.000,
42u,12/14/1990,0.020,
42u,12/15/1990,0.240,
42u,12/16/1990,0.160,
42u,12/17/1990,0.020,
42u,12/18/1990,0.000,
42u,12/19/1990,0.000,
42u,12/20/1990,0.000,
42u,12/21/1990,0.000,
42u,12/22/1990,0.000,
42u,12/23/1990,0.040,
42u,12/24/1990,0.000,
42u,12/25/1990,0.000,
42u,12/26/1990,0.380,
42u,12/27/1990,0.020,
42u,12/28/1990,0.000,
42u,12/29/1990,0.000,
42u,12/30/1990,0.140,
42u,12/31/1990,0.000,
42u,1/1/1991,0.020,
42u,1/2/1991,0.000,
42u,1/3/1991,0.000,
42u,1/4/1991,0.000,
42u,1/5/1991,0.020,
42u,1/6/1991,0.000,
42u,1/7/1991,0.740,
42u,1/8/1991,0.340,
42u,1/9/1991,0.340,
42u,1/10/1991,0.280,
42u,1/11/1991,0.840,
42u,1/12/1991,0.920,
42u,1/13/1991,0.240,
42u,1/14/1991,0.200,
42u,1/15/1991,0.000,
42u,1/16/1991,0.000,
42u,1/17/1991,0.060,
42u,1/18/1991,0.000,
42u,1/19/1991,0.000,
42u,1/20/1991,0.000,
42u,1/21/1991,0.020,
42u,1/22/1991,0.000,
42u,1/23/1991,0.000,
42u,1/24/1991,0.000,
42u,1/25/1991,0.000,
42u,1/26/1991,0.000,
42u,1/27/1991,0.040,
42u,1/28/1991,0.000,
42u,1/29/1991,0.000,
42u,1/30/1991,0.000,
42u,1/31/1991,0.500,
42u,2/1/1991,0.300,
42u,2/2/1991,0.580,
42u,2/3/1991,0.760,
42u,2/4/1991,0.720,
42u,2/5/1991,0.000,
42u,2/6/1991,0.000,
42u,2/7/1991,0.040,
42u,2/8/1991,0.020,
42u,2/9/1991,0.020,
42u,2/10/1991,0.000,
42u,2/11/1991,0.100,
42u,2/12/1991,0.220,
42u,2/13/1991,0.320,
42u,2/14/1991,0.040,
42u,2/15/1991,0.080,
42u,2/16/1991,0.100,
42u,2/17/1991,0.000,
42u,2/18/1991,0.140,
42u,2/19/1991,1.560,
42u,2/20/1991,0.000,
42u,2/21/1991,0.000,
42u,2/22/1991,0.000,
42u,2/23/1991,0.000,
42u,2/24/1991,0.000,
42u,2/25/1991,0.000,
42u,2/26/1991,0.000,
42u,2/27/1991,0.000,
42u,2/28/1991,0.000,
42u,3/1/1991,0.580,
42u,3/2/1991,1.380,
42u,3/3/1991,0.700,
42u,3/4/1991,0.180,
42u,3/5/1991,0.380,
42u,3/6/1991,0.060,
42u,3/7/1991,0.060,
42u,3/8/1991,0.020,
42u,3/9/1991,0.220,
42u,3/10/1991,0.040,
42u,3/11/1991,0.280,
42u,3/12/1991,0.400,
42u,3/13/1991,0.000,
42u,3/14/1991,0.000,
42u,3/15/1991,0.000,
42u,3/16/1991,0.000,
42u,3/17/1991,0.000,
42u,3/18/1991,0.220,
42u,3/19/1991,0.060,
42u,3/20/1991,0.000,
42u,3/21/1991,0.000,
42u,3/22/1991,0.000,
42u,3/23/1991,0.040,
42u,3/24/1991,0.340,
42u,3/25/1991,0.020,
42u,3/26/1991,0.000,
42u,3/27/1991,0.000,
42u,3/28/1991,0.000,
42u,3/29/1991,0.000,
42u,3/30/1991,0.000,
42u,3/31/1991,0.000,
42u,4/1/1991,0.000,
42u,4/2/1991,0.200,
42u,4/3/1991,1.680,
42u,4/4/1991,2.520,
42u,4/5/1991,0.860,
42u,4/6/1991,0.100,
42u,4/7/1991,0.000,
42u,4/8/1991,0.360,
42u,4/9/1991,0.120,
42u,4/10/1991,0.180,
42u,4/11/1991,0.000,
42u,4/12/1991,0.000,
42u,4/13/1991,0.000,
42u,4/14/1991,0.020,
42u,4/15/1991,0.080,
42u,4/16/1991,0.000,
42u,4/17/1991,0.000,
42u,4/18/1991,0.000,
42u,4/19/1991,0.000,
42u,4/20/1991,0.000,
42u,4/21/1991,0.000,
42u,4/22/1991,0.000,
42u,4/23/1991,0.280,
42u,4/24/1991,0.140,
42u,4/25/1991,0.020,
42u,4/26/1991,0.000,
42u,4/27/1991,0.000,
42u,4/28/1991,0.060,
42u,4/29/1991,0.060,
42u,4/30/1991,0.000,
42u,5/1/1991,0.000,
42u,5/2/1991,0.000,
42u,5/3/1991,0.000,
42u,5/4/1991,0.000,
42u,5/5/1991,0.100,
42u,5/6/1991,0.000,
42u,5/7/1991,0.520,
42u,5/8/1991,0.020,
42u,5/9/1991,0.000,
42u,5/10/1991,0.000,
42u,5/11/1991,0.000,
42u,5/12/1991,0.000,
42u,5/13/1991,0.000,
42u,5/14/1991,0.000,
42u,5/15/1991,0.000,
42u,5/16/1991,0.080,
42u,5/17/1991,0.200,
42u,5/18/1991,0.100,
42u,5/19/1991,0.000,
42u,5/20/1991,0.000,
42u,5/21/1991,0.020,
42u,5/22/1991,0.000,
42u,5/23/1991,0.020,
42u,5/24/1991,0.540,
42u,5/25/1991,0.100,
42u,5/26/1991,0.040,
42u,5/27/1991,0.020,
42u,5/28/1991,0.020,
42u,5/29/1991,0.040,
42u,5/30/1991,0.000,
42u,5/31/1991,0.000,
42u,6/1/1991,0.000,
42u,6/2/1991,0.000,
42u,6/3/1991,0.000,
42u,6/4/1991,0.000,
42u,6/5/1991,0.000,
42u,6/6/1991,0.000,
42u,6/7/1991,0.080,
42u,6/8/1991,0.000,
42u,6/9/1991,0.000,
42u,6/10/1991,0.000,
42u,6/11/1991,0.000,
42u,6/12/1991,0.000,
42u,6/13/1991,0.000,
42u,6/14/1991,0.000,
42u,6/15/1991,0.320,
42u,6/16/1991,0.320,
42u,6/17/1991,0.000,
42u,6/18/1991,0.000,
42u,6/19/1991,0.000,
42u,6/20/1991,0.680,
42u,6/21/1991,0.000,
42u,6/22/1991,0.020,
42u,6/23/1991,0.000,
42u,6/24/1991,0.000,
42u,6/25/1991,0.000,
42u,6/26/1991,0.000,
42u,6/27/1991,0.000,
42u,6/28/1991,0.000,
42u,6/29/1991,0.080,
42u,6/30/1991,0.000,
42u,7/1/1991,0.000,
42u,7/2/1991,0.000,
42u,7/3/1991,0.000,
42u,7/4/1991,0.000,
42u,7/5/1991,0.000,
42u,7/6/1991,0.000,
42u,7/7/1991,0.000,
42u,7/8/1991,0.000,
42u,7/9/1991,0.000,
42u,7/10/1991,0.000,
42u,7/11/1991,0.000,
42u,7/12/1991,0.000,
42u,7/13/1991,0.000,
42u,7/14/1991,0.000,
42u,7/15/1991,0.020,
42u,7/16/1991,0.000,
42u,7/17/1991,0.000,
42u,7/18/1991,0.000,
42u,7/19/1991,0.000,
42u,7/20/1991,0.000,
42u,7/21/1991,0.000,
42u,7/22/1991,0.000,
42u,7/23/1991,0.000,
42u,7/24/1991,0.260,
42u,7/25/1991,0.000,
42u,7/26/1991,0.000,
42u,7/27/1991,0.000,
42u,7/28/1991,0.000,
42u,7/29/1991,0.000,
42u,7/30/1991,0.000,
42u,7/31/1991,0.000,
42u,8/1/1991,0.000,
42u,8/2/1991,0.000,
42u,8/3/1991,0.000,
42u,8/4/1991,0.000,
42u,8/5/1991,0.000,
42u,8/6/1991,0.000,
42u,8/7/1991,0.000,
42u,8/8/1991,0.000,
42u,8/9/1991,0.660,
42u,8/10/1991,0.000,
42u,8/11/1991,0.000,
42u,8/12/1991,0.000,
42u,8/13/1991,0.000,
42u,8/14/1991,0.000,
42u,8/15/1991,0.000,
42u,8/16/1991,0.000,
42u,8/17/1991,0.000,
42u,8/18/1991,0.000,
42u,8/19/1991,0.000,
42u,8/20/1991,0.000,
42u,8/21/1991,0.000,
42u,8/22/1991,0.000,
42u,8/23/1991,0.000,
42u,8/24/1991,0.000,
42u,8/25/1991,0.000,
42u,8/26/1991,0.000,
42u,8/27/1991,0.900,
42u,8/28/1991,0.100,
42u,8/29/1991,0.420,
42u,8/30/1991,0.020,
42u,8/31/1991,0.440,
42u,9/1/1991,0.020,
42u,9/2/1991,0.000,
42u,9/3/1991,0.000,
42u,9/4/1991,0.000,
42u,9/5/1991,0.000,
42u,9/6/1991,0.000,
42u,9/7/1991,0.000,
42u,9/8/1991,0.000,
42u,9/9/1991,0.000,
42u,9/10/1991,0.000,
42u,9/11/1991,0.000,
42u,9/12/1991,0.000,
42u,9/13/1991,0.000,
42u,9/14/1991,0.000,
42u,9/15/1991,0.000,
42u,9/16/1991,0.000,
42u,9/17/1991,0.000,
42u,9/18/1991,0.000,
42u,9/19/1991,0.000,
42u,9/20/1991,0.000,
42u,9/21/1991,0.000,
42u,9/22/1991,0.000,
42u,9/23/1991,0.000,
42u,9/24/1991,0.000,
42u,9/25/1991,0.000,
42u,9/26/1991,0.000,
42u,9/27/1991,0.000,
42u,9/28/1991,0.000,
42u,9/29/1991,0.000,
42u,9/30/1991,0.000,
42u,10/1/1991,0.000,
42u,10/2/1991,0.000,
42u,10/3/1991,0.000,
42u,10/4/1991,0.000,
42u,10/5/1991,0.000,
42u,10/6/1991,0.000,
42u,10/7/1991,0.000,
42u,10/8/1991,0.000,
42u,10/9/1991,0.000,
42u,10/10/1991,0.000,
42u,10/11/1991,0.000,
42u,10/12/1991,0.000,
42u,10/13/1991,0.000,
42u,10/14/1991,0.000,
42u,10/15/1991,0.000,
42u,10/16/1991,0.200,
42u,10/17/1991,0.000,
42u,10/18/1991,0.000,
42u,10/19/1991,0.000,
42u,10/20/1991,0.000,
42u,10/21/1991,0.000,
42u,10/22/1991,0.180,
42u,10/23/1991,0.000,
42u,10/24/1991,0.580,
42u,10/25/1991,0.180,
42u,10/26/1991,0.000,
42u,10/27/1991,0.080,
42u,10/28/1991,0.200,
42u,10/29/1991,0.000,
42u,10/30/1991,0.000,
42u,10/31/1991,0.060,
42u,11/1/1991,0.000,
42u,11/2/1991,0.000,
42u,11/3/1991,0.080,
42u,11/4/1991,0.540,
42u,11/5/1991,0.260,
42u,11/6/1991,0.000,
42u,11/7/1991,0.080,
42u,11/8/1991,0.200,
42u,11/9/1991,0.260,
42u,11/10/1991,0.000,
42u,11/11/1991,0.560,
42u,11/12/1991,0.040,
42u,11/13/1991,0.040,
42u,11/14/1991,0.060,
42u,11/15/1991,0.000,
42u,11/16/1991,0.680,
42u,11/17/1991,0.280,
42u,11/18/1991,0.100,
42u,11/19/1991,1.140,
42u,11/20/1991,0.220,
42u,11/21/1991,0.000,
42u,11/22/1991,0.000,
42u,11/23/1991,0.120,
42u,11/24/1991,0.620,
42u,11/25/1991,0.020,
42u,11/26/1991,0.760,
42u,11/27/1991,0.120,
42u,11/28/1991,0.120,
42u,11/29/1991,0.000,
42u,11/30/1991,0.000,
42u,12/1/1991,0.060,
42u,12/2/1991,0.020,
42u,12/3/1991,0.000,
42u,12/4/1991,0.140,
42u,12/5/1991,1.340,
42u,12/6/1991,0.180,
42u,12/7/1991,0.000,
42u,12/8/1991,0.020,
42u,12/9/1991,0.420,
42u,12/10/1991,0.000,
42u,12/11/1991,0.020,
42u,12/12/1991,0.150,
42u,12/13/1991,0.000,
42u,12/14/1991,0.000,
42u,12/15/1991,0.000,
42u,12/16/1991,0.010,
42u,12/17/1991,0.000,
42u,12/18/1991,0.400,
42u,12/19/1991,0.020,
42u,12/20/1991,0.110,
42u,12/21/1991,0.270,
42u,12/22/1991,0.000,
42u,12/23/1991,0.000,
42u,12/24/1991,0.040,
42u,12/25/1991,0.040,
42u,12/26/1991,0.040,
42u,12/27/1991,0.080,
42u,12/28/1991,0.180,
42u,12/29/1991,0.000,
42u,12/30/1991,0.120,
42u,12/31/1991,0.000,
42u,1/1/1992,0.480,
42u,1/2/1992,0.220,
42u,1/3/1992,0.140,
42u,1/4/1992,0.480,
42u,1/5/1992,0.020,
42u,1/6/1992,0.000,
42u,1/7/1992,0.000,
42u,1/8/1992,0.000,
42u,1/9/1992,0.020,
42u,1/10/1992,0.300,
42u,1/11/1992,0.000,
42u,1/12/1992,0.000,
42u,1/13/1992,0.000,
42u,1/14/1992,0.000,
42u,1/15/1992,0.120,
42u,1/16/1992,0.360,
42u,1/17/1992,0.000,
42u,1/18/1992,0.000,
42u,1/19/1992,0.000,
42u,1/20/1992,0.020,
42u,1/21/1992,0.160,
42u,1/22/1992,0.060,
42u,1/23/1992,1.140,
42u,1/24/1992,0.060,
42u,1/25/1992,0.280,
42u,1/26/1992,0.120,
42u,1/27/1992,1.760,
42u,1/28/1992,0.740,
42u,1/29/1992,0.780,
42u,1/30/1992,0.960,
42u,1/31/1992,0.740,
42u,2/1/1992,0.180,
42u,2/2/1992,0.380,
42u,2/3/1992,0.000,
42u,2/4/1992,0.020,
42u,2/5/1992,0.000,
42u,2/6/1992,0.000,
42u,2/7/1992,0.320,
42u,2/8/1992,0.020,
42u,2/9/1992,0.020,
42u,2/10/1992,0.000,
42u,2/11/1992,0.040,
42u,2/12/1992,0.060,
42u,2/13/1992,0.100,
42u,2/14/1992,0.280,
42u,2/15/1992,0.300,
42u,2/16/1992,0.000,
42u,2/17/1992,0.200,
42u,2/18/1992,0.360,
42u,2/19/1992,0.060,
42u,2/20/1992,0.380,
42u,2/21/1992,0.900,
42u,2/22/1992,0.040,
42u,2/23/1992,0.180,
42u,2/24/1992,0.000,
42u,2/25/1992,0.000,
42u,2/26/1992,0.000,
42u,2/27/1992,0.000,
42u,2/28/1992,0.000,
42u,2/29/1992,0.000,
42u,3/1/1992,0.000,
42u,3/2/1992,0.000,
42u,3/3/1992,0.100,
42u,3/4/1992,0.140,
42u,3/5/1992,0.440,
42u,3/6/1992,0.020,
42u,3/7/1992,0.000,
42u,3/8/1992,0.000,
42u,3/9/1992,0.000,
42u,3/10/1992,0.000,
42u,3/11/1992,0.000,
42u,3/12/1992,0.000,
42u,3/13/1992,0.000,
42u,3/14/1992,0.000,
42u,3/15/1992,0.580,
42u,3/16/1992,0.000,
42u,3/17/1992,0.280,
42u,3/18/1992,0.000,
42u,3/19/1992,0.000,
42u,3/20/1992,0.000,
42u,3/21/1992,0.000,
42u,3/22/1992,0.000,
42u,3/23/1992,0.000,
42u,3/24/1992,0.000,
42u,3/25/1992,0.000,
42u,3/26/1992,0.000,
42u,3/27/1992,0.200,
42u,3/28/1992,0.000,
42u,3/29/1992,0.000,
42u,3/30/1992,0.000,
42u,3/31/1992,0.000,
42u,4/1/1992,0.000,
42u,4/2/1992,0.000,
42u,4/3/1992,0.000,
42u,4/4/1992,0.260,
42u,4/5/1992,0.140,
42u,4/6/1992,0.020,
42u,4/7/1992,0.000,
42u,4/8/1992,0.000,
42u,4/9/1992,0.160,
42u,4/10/1992,0.000,
42u,4/11/1992,0.140,
42u,4/12/1992,0.140,
42u,4/13/1992,0.180,
42u,4/14/1992,0.000,
42u,4/15/1992,0.060,
42u,4/16/1992,0.920,
42u,4/17/1992,0.640,
42u,4/18/1992,0.000,
42u,4/19/1992,0.000,
42u,4/20/1992,0.060,
42u,4/21/1992,0.380,
42u,4/22/1992,0.000,
42u,4/23/1992,0.000,
42u,4/24/1992,0.000,
42u,4/25/1992,0.000,
42u,4/26/1992,0.020,
42u,4/27/1992,0.260,
42u,4/28/1992,0.080,
42u,4/29/1992,0.660,
42u,4/30/1992,0.180,
42u,5/1/1992,0.020,
42u,5/2/1992,0.000,
42u,5/3/1992,0.000,
42u,5/4/1992,0.000,
42u,5/5/1992,0.000,
42u,5/6/1992,0.000,
42u,5/7/1992,0.000,
42u,5/8/1992,0.040,
42u,5/9/1992,0.000,
42u,5/10/1992,0.000,
42u,5/11/1992,0.000,
42u,5/12/1992,0.000,
42u,5/13/1992,0.000,
42u,5/14/1992,0.000,
42u,5/15/1992,0.000,
42u,5/16/1992,0.000,
42u,5/17/1992,0.000,
42u,5/18/1992,0.000,
42u,5/19/1992,0.000,
42u,5/20/1992,0.000,
42u,5/21/1992,0.000,
42u,5/22/1992,0.000,
42u,5/23/1992,0.000,
42u,5/24/1992,0.000,
42u,5/25/1992,0.000,
42u,5/26/1992,0.000,
42u,5/27/1992,0.000,
42u,5/28/1992,0.080,
42u,5/29/1992,0.000,
42u,5/30/1992,0.000,
42u,5/31/1992,0.000,
42u,6/1/1992,0.000,
42u,6/2/1992,0.000,
42u,6/3/1992,0.000,
42u,6/4/1992,0.000,
42u,6/5/1992,0.000,
42u,6/6/1992,0.000,
42u,6/7/1992,0.000,
42u,6/8/1992,0.000,
42u,6/9/1992,0.020,
42u,6/10/1992,0.000,
42u,6/11/1992,0.000,
42u,6/12/1992,0.220,
42u,6/13/1992,0.180,
42u,6/14/1992,0.000,
42u,6/15/1992,0.000,
42u,6/16/1992,0.000,
42u,6/17/1992,0.000,
42u,6/18/1992,0.000,
42u,6/19/1992,0.000,
42u,6/20/1992,0.000,
42u,6/21/1992,0.000,
42u,6/22/1992,0.000,
42u,6/23/1992,0.000,
42u,6/24/1992,0.000,
42u,6/25/1992,0.000,
42u,6/26/1992,0.000,
42u,6/27/1992,0.000,
42u,6/28/1992,0.040,
42u,6/29/1992,0.840,
42u,6/30/1992,0.020,
42u,7/1/1992,0.000,
42u,7/2/1992,0.000,
42u,7/3/1992,0.000,
42u,7/4/1992,0.720,
42u,7/5/1992,0.040,
42u,7/6/1992,0.020,
42u,7/7/1992,0.140,
42u,7/8/1992,0.080,
42u,7/9/1992,0.000,
42u,7/10/1992,0.260,
42u,7/11/1992,0.020,
42u,7/12/1992,0.000,
42u,7/13/1992,0.000,
42u,7/14/1992,0.000,
42u,7/15/1992,0.000,
42u,7/16/1992,0.000,
42u,7/17/1992,0.000,
42u,7/18/1992,0.000,
42u,7/19/1992,0.000,
42u,7/20/1992,0.020,
42u,7/21/1992,0.000,
42u,7/22/1992,0.000,
42u,7/23/1992,0.020,
42u,7/24/1992,0.000,
42u,7/25/1992,0.000,
42u,7/26/1992,0.000,
42u,7/27/1992,0.000,
42u,7/28/1992,0.000,
42u,7/29/1992,0.000,
42u,7/30/1992,0.000,
42u,7/31/1992,0.000,
42u,8/1/1992,0.000,
42u,8/2/1992,0.000,
42u,8/3/1992,0.000,
42u,8/4/1992,0.000,
42u,8/5/1992,0.000,
42u,8/6/1992,0.660,
42u,8/7/1992,0.100,
42u,8/8/1992,0.000,
42u,8/9/1992,0.000,
42u,8/10/1992,0.000,
42u,8/11/1992,0.000,
42u,8/12/1992,0.000,
42u,8/13/1992,0.000,
42u,8/14/1992,0.000,
42u,8/15/1992,0.000,
42u,8/16/1992,0.000,
42u,8/17/1992,0.000,
42u,8/18/1992,0.000,
42u,8/19/1992,0.000,
42u,8/20/1992,0.000,
42u,8/21/1992,0.000,
42u,8/22/1992,0.000,
42u,8/23/1992,0.000,
42u,8/24/1992,0.000,
42u,8/25/1992,0.000,
42u,8/26/1992,0.000,
42u,8/27/1992,0.000,
42u,8/28/1992,0.000,
42u,8/29/1992,0.000,
42u,8/30/1992,0.000,
42u,8/31/1992,0.000,
42u,9/1/1992,0.000,
42u,9/2/1992,0.000,
42u,9/3/1992,0.000,
42u,9/4/1992,0.120,
42u,9/5/1992,0.020,
42u,9/6/1992,0.020,
42u,9/7/1992,0.000,
42u,9/8/1992,0.140,
42u,9/9/1992,0.000,
42u,9/10/1992,0.000,
42u,9/11/1992,0.000,
42u,9/12/1992,0.000,
42u,9/13/1992,0.000,
42u,9/14/1992,0.000,
42u,9/15/1992,0.000,
42u,9/16/1992,0.000,
42u,9/17/1992,0.000,
42u,9/18/1992,0.000,
42u,9/19/1992,0.120,
42u,9/20/1992,0.000,
42u,9/21/1992,0.000,
42u,9/22/1992,0.000,
42u,9/23/1992,0.680,
42u,9/24/1992,0.100,
42u,9/25/1992,0.000,
42u,9/26/1992,0.040,
42u,9/27/1992,0.000,
42u,9/28/1992,0.000,
42u,9/29/1992,0.000,
42u,9/30/1992,0.000,
42u,10/1/1992,0.000,
42u,10/2/1992,0.080,
42u,10/3/1992,0.200,
42u,10/4/1992,0.000,
42u,10/5/1992,0.000,
42u,10/6/1992,0.000,
42u,10/7/1992,0.000,
42u,10/8/1992,0.060,
42u,10/9/1992,0.000,
42u,10/10/1992,0.000,
42u,10/11/1992,0.000,
42u,10/12/1992,0.100,
42u,10/13/1992,0.020,
42u,10/14/1992,0.000,
42u,10/15/1992,0.010,E,
42u,10/16/1992,0.060,E,
42u,10/17/1992,0.010,E,
42u,10/18/1992,0.000,E,
42u,10/19/1992,0.560,E,
42u,10/20/1992,0.210,E,
42u,10/21/1992,0.080,E,
42u,10/22/1992,0.000,E,
42u,10/23/1992,0.000,E,
42u,10/24/1992,0.030,E,
42u,10/25/1992,0.000,E,
42u,10/26/1992,0.000,E,
42u,10/27/1992,0.000,E,
42u,10/28/1992,0.160,E,
42u,10/29/1992,0.230,E,
42u,10/30/1992,0.240,E,
42u,10/31/1992,0.540,E,
42u,11/1/1992,0.510,E,
42u,11/2/1992,0.000,E,
42u,11/3/1992,0.010,E,
42u,11/4/1992,0.260,E,
42u,11/5/1992,0.000,
42u,11/6/1992,0.140,
42u,11/7/1992,0.600,
42u,11/8/1992,0.340,
42u,11/9/1992,0.200,
42u,11/10/1992,0.000,
42u,11/11/1992,0.620,
42u,11/12/1992,0.120,
42u,11/13/1992,0.000,
42u,11/14/1992,0.000,
42u,11/15/1992,0.140,
42u,11/16/1992,0.600,
42u,11/17/1992,0.200,
42u,11/18/1992,0.020,
42u,11/19/1992,0.380,
42u,11/20/1992,0.000,
42u,11/21/1992,0.720,
42u,11/22/1992,0.020,
42u,11/23/1992,0.000,
42u,11/24/1992,0.020,
42u,11/25/1992,0.000,
42u,11/26/1992,0.000,
42u,11/27/1992,0.340,
42u,11/28/1992,0.020,
42u,11/29/1992,0.080,
42u,11/30/1992,0.140,
42u,12/1/1992,0.000,
42u,12/2/1992,0.000,
42u,12/3/1992,0.000,
42u,12/4/1992,0.000,
42u,12/5/1992,0.020,
42u,12/6/1992,0.000,
42u,12/7/1992,0.060,
42u,12/8/1992,0.460,
42u,12/9/1992,0.000,
42u,12/10/1992,1.040,
42u,12/11/1992,0.040,
42u,12/12/1992,0.000,
42u,12/13/1992,0.000,
42u,12/14/1992,0.460,
42u,12/15/1992,0.000,
42u,12/16/1992,0.000,
42u,12/17/1992,0.180,
42u,12/18/1992,0.000,
42u,12/19/1992,0.580,
42u,12/20/1992,0.100,
42u,12/21/1992,0.040,
42u,12/22/1992,0.000,
42u,12/23/1992,0.000,
42u,12/24/1992,0.060,
42u,12/25/1992,0.020,
42u,12/26/1992,0.000,
42u,12/27/1992,0.100,
42u,12/28/1992,0.040,
42u,12/29/1992,0.000,
42u,12/30/1992,0.120,
42u,12/31/1992,0.000,
42u,1/1/1993,0.000,
42u,1/2/1993,0.000,
42u,1/3/1993,0.200,
42u,1/4/1993,0.060,
42u,1/5/1993,0.000,
42u,1/6/1993,0.000,
42u,1/7/1993,0.000,
42u,1/8/1993,0.000,
42u,1/9/1993,0.000,
42u,1/10/1993,0.000,
42u,1/11/1993,0.000,
42u,1/12/1993,0.000,
42u,1/13/1993,0.000,
42u,1/14/1993,0.000,
42u,1/15/1993,0.000,
42u,1/16/1993,0.000,
42u,1/17/1993,0.000,
42u,1/18/1993,0.000,
42u,1/19/1993,0.580,
42u,1/20/1993,0.780,
42u,1/21/1993,0.060,
42u,1/22/1993,0.200,
42u,1/23/1993,0.060,
42u,1/24/1993,0.700,
42u,1/25/1993,1.000,
42u,1/26/1993,0.040,
42u,1/27/1993,0.000,
42u,1/28/1993,0.100,
42u,1/29/1993,0.020,
42u,1/30/1993,0.000,
42u,1/31/1993,0.000,
42u,2/1/1993,0.000,
42u,2/2/1993,0.000,
42u,2/3/1993,0.000,
42u,2/4/1993,0.000,
42u,2/5/1993,0.000,
42u,2/6/1993,0.000,
42u,2/7/1993,0.000,
42u,2/8/1993,0.000,
